"(-0.08036910777863358, 0.18698943011653807)","(-0.08014411708268815, 0.1914040820328369)","(-0.08177028466591288, 0.1913463755852646)","(-0.0800293546668135, 0.19176240824340232)","(-0.08135032504790465, 0.195433926200329)","(-0.08141836824083984, 0.18890378114437792)","(-0.08090396594336974, 0.18645701011940005)","(-0.08008301616954071, 0.18833544879085354)","(-0.08076203474042502, 0.18763773039572162)","(-0.08004060070945468, 0.18847351617669228)"
"(-0.09014164622504689, 0.2025794081787447)","(-0.09158121350483946, 0.20290039182951528)","(-0.08941972868788543, 0.20008917569714846)","(-0.08961370254850501, 0.2021253873301261)","(-0.09115853902168296, 0.1991952564447615)","(-0.09144564544554892, 0.19781686709045307)","(-0.09103060322246119, 0.20145885663106539)","(-0.0894197836943118, 0.1985921410339263)","(-0.08989638275107577, 0.1955375356604113)","(-0.09075003495891266, 0.1970669975618214)"
"(-0.10006272251932098, 0.21821970375202068)","(-0.10194335831477425, 0.21774285346647912)","(-0.1006760420962171, 0.21486292939905455)","(-0.10155061138437275, 0.21170880581307644)","(-0.10093388141768833, 0.2086574739866803)","(-0.10173727348186201, 0.22016969503482012)","(-0.10128175543770866, 0.2158160063040535)","(-0.10093309021890286, 0.21384685081980886)","(-0.10072010915026781, 0.2193936450446346)","(-0.10069453497479022, 0.2153287897702021)"
"(-0.11325038299922244, 0.2280048559270553)","(-0.1146263222144602, 0.23816737093246865)","(-0.11416065524378327, 0.22911031724774694)","(-0.11308985748176169, 0.23171531871909984)","(-0.11413309705474349, 0.22923996534841912)","(-0.11436771519399354, 0.22287545393072541)","(-0.11421789686530444, 0.22695007191986197)","(-0.11273878891573635, 0.22523826329641547)","(-0.11361210622949304, 0.2263550798314375)","(-0.11139609124570156, 0.23174056408802604)"
"(-0.1279201511497698, 0.23747267861942672)","(-0.12932215115553838, 0.24420235513193342)","(-0.12738651141521665, 0.24862795955800282)","(-0.12719915329634426, 0.23822086917342583)","(-0.12704125362788193, 0.2447692837748885)","(-0.12626429196021755, 0.2375171139492435)","(-0.12790764168810498, 0.24152721048887213)","(-0.127453997573015, 0.24679022553172764)","(-0.1271215374311204, 0.23917600544739862)","(-0.12624494825303595, 0.243070105812165)"
"(-0.14375671016125308, 0.2637651000562089)","(-0.14362857757560352, 0.2633741986753261)","(-0.14410354804580314, 0.26777743163870144)","(-0.14344067621924625, 0.262178942442797)","(-0.1429067423030147, 0.2639826726385556)","(-0.14461322746422134, 0.26015531989546253)","(-0.14364203399686776, 0.27271200162486964)","(-0.14289411939854996, 0.26596970732800884)","(-0.14462560436569352, 0.26213053165694755)","(-0.14287419778678764, 0.2564366276246135)"
"(-0.16103164784420104, 0.28187558564840404)","(-0.16289909849838619, 0.28322516606650733)","(-0.16190841952388746, 0.2796196978981074)","(-0.16153524424567428, 0.28032544128515613)","(-0.16151660899851777, 0.27849547803357766)","(-0.16144039576829913, 0.28732338034861143)","(-0.16344764870769568, 0.2779811310670727)","(-0.16148890501347352, 0.2803326594596518)","(-0.16184877051423324, 0.28237693511815626)","(-0.15981123120633903, 0.28595553758058206)"
"(-0.18018324472172426, 0.3109878236535933)","(-0.1813070417507003, 0.30011067133651986)","(-0.18085266163307534, 0.30069585821936995)","(-0.18141054231403883, 0.3017323577099356)","(-0.18184621589900146, 0.30448496822223053)","(-0.1832401268323511, 0.30854559361960415)","(-0.18261160567357987, 0.30855099247924406)","(-0.18171245906393202, 0.31136891436442987)","(-0.1808007673837728, 0.30806372124409404)","(-0.180391238841196, 0.29976834006134545)"
"(-0.20416375895347316, 0.32857609193084664)","(-0.20304607272015232, 0.33098877891427403)","(-0.2034273776792203, 0.3324475224793021)","(-0.2025848149824698, 0.3297593784485422)","(-0.20543249409965228, 0.31989119268195326)","(-0.20331375524384468, 0.32916479441529517)","(-0.20466921526478069, 0.3244496232081014)","(-0.20450292071515438, 0.34362908253112984)","(-0.20390831672613946, 0.3344193586547331)","(-0.20500680412680022, 0.32815824075655997)"
"(-0.2280263106289211, 0.35168737531634164)","(-0.22947191740434855, 0.3558441079861072)","(-0.22949186752612732, 0.36329730753625405)","(-0.22978813284990685, 0.3640682893782654)","(-0.22993213575856739, 0.363232060313038)","(-0.2282915808273613, 0.3696303330465269)","(-0.22920464940762403, 0.3593406421269358)","(-0.229787449396994, 0.35872348931664205)","(-0.22940440335043072, 0.35047371055150156)","(-0.2315405390881751, 0.36252268485956546)"
