"(-0.014543322906940092, 0.6146046888391541)","(-0.014487126655606917, 0.6103462218047776)","(-0.014439597910290366, 0.6039622695977755)","(-0.014531569538293283, 0.6028258369588126)","(-0.01449230836389778, 0.6193780051449322)"
"(-0.01476305640445907, 0.6028667600875529)","(-0.014694462253670304, 0.6041907772655026)","(-0.014706375905684653, 0.593817419440988)","(-0.014647420151540592, 0.5847718652262209)","(-0.014650870480702911, 0.5982847519180334)"
"(-0.014989553716975064, 0.5874645230696394)","(-0.015013565924267306, 0.6101198041479285)","(-0.01494686952418166, 0.5767634192230987)","(-0.014978241958484295, 0.5854387097131842)","(-0.014998801060787458, 0.5990323130960805)"
"(-0.01519372790784622, 0.5781075771212367)","(-0.015164080466349617, 0.5821345678430222)","(-0.01524400728809715, 0.5730784375695985)","(-0.015182984307786125, 0.5954183805424164)","(-0.015148385100221583, 0.5801199289781875)"
"(-0.015399983894193536, 0.5727641208762402)","(-0.015482732032642065, 0.5766744480388695)","(-0.015474047201152405, 0.5807045184886978)","(-0.015456579767852394, 0.5755794351043497)","(-0.015414708797150336, 0.5778311294169257)"
"(-0.015727959722839642, 0.5759196869537337)","(-0.015726706326903934, 0.5643612485548561)","(-0.0157132544878934, 0.5563777788501089)","(-0.015726777605872527, 0.5802056638184544)","(-0.015702447430345285, 0.5782987673388787)"
"(-0.015947147995129304, 0.5600020975148708)","(-0.015991707013578063, 0.5729549855196459)","(-0.015964690861067894, 0.5766503963226726)","(-0.0160148822036531, 0.569029444165564)","(-0.015972372871925655, 0.5724657710273353)"
"(-0.016344276018942595, 0.5699182639269725)","(-0.016328192636648642, 0.5581598414062108)","(-0.016330768875018192, 0.5733096417374783)","(-0.016345325443306552, 0.5530033786840415)","(-0.01629383023858559, 0.5601795719664884)"
"(-0.01659254443665767, 0.5636441302405055)","(-0.016597351735699595, 0.5647596633373102)","(-0.01660905261347027, 0.5587670357360451)","(-0.016615944145702513, 0.5792325208906413)","(-0.016621284740423705, 0.5827157033751562)"
"(-0.016970029374835736, 0.5679420739078587)","(-0.016974050401122074, 0.5771598377785306)","(-0.0169690988752676, 0.5880998939190132)","(-0.016983912575499385, 0.5776704075813248)","(-0.017008059257034924, 0.582328087846453)"
"(-0.01734366805762823, 0.5629698546540145)","(-0.01731642348100017, 0.5825563067913195)","(-0.017353907019548438, 0.5800782975173178)","(-0.017335797225725348, 0.5618826859221102)","(-0.017322381918060164, 0.5793215999702287)"
"(-0.017726216393382743, 0.5983725636659981)","(-0.017717956817192168, 0.6041134264538197)","(-0.017698344209790526, 0.5970658637502233)","(-0.017711614136049336, 0.6099332173945008)","(-0.01769371625523013, 0.6141490144156041)"
"(-0.01810578904543507, 0.5936220183319578)","(-0.018111694412418347, 0.608206534277038)","(-0.018130402773071104, 0.6131831797890749)","(-0.018123290898394605, 0.6082563574543657)","(-0.018125434945650862, 0.6035787077897423)"
"(-0.01854826448605935, 0.6384707838672833)","(-0.01854675584806387, 0.6327419831589365)","(-0.01854197822339902, 0.6233466859396875)","(-0.018551255202723053, 0.6203020487138439)","(-0.018541228402160145, 0.6244834023511573)"
"(-0.019005431337339593, 0.6431322990363447)","(-0.019001052373569426, 0.6353027201112416)","(-0.01899168414824776, 0.6261682865726327)","(-0.019010390401116586, 0.638176128119668)","(-0.01901112774509811, 0.6199836724251521)"
"(-0.019460996607387485, 0.6593553513528079)","(-0.01945738794992314, 0.6640166180430475)","(-0.019481951711408107, 0.6766726863453248)","(-0.01942441995982827, 0.656193880995426)","(-0.01951457157501689, 0.641811217626226)"
"(-0.01996172618459893, 0.6983984845245123)","(-0.019975094951312142, 0.6895860818856016)","(-0.019979023353079012, 0.6972261266346129)","(-0.019944211314687682, 0.665942959953191)","(-0.019995265655837327, 0.6749810870847998)"
"(-0.020454985153016778, 0.7129047175349594)","(-0.020479069408414655, 0.7253826678419528)","(-0.020494899035229837, 0.7084038480767522)","(-0.020463151417121423, 0.7146119998861832)","(-0.020512207889646385, 0.7153782810048802)"
"(-0.021046741414190984, 0.7455794580741762)","(-0.021155437554045052, 0.7441020900196589)","(-0.020978841040749197, 0.7555886976786899)","(-0.02098314449976081, 0.7453815182973469)","(-0.021166047864400264, 0.7480691246696332)"
"(-0.021613435568836808, 0.768520001284552)","(-0.021645065421229424, 0.773357978567814)","(-0.02160788602225992, 0.7803720098380345)","(-0.021635837751690073, 0.8009146737766948)","(-0.02152419667247728, 0.7625993551448416)"
"(-0.022273016978814526, 0.8393119284299502)","(-0.022343046936953073, 0.8225943704195948)","(-0.022254384951352405, 0.8014127008705717)","(-0.022224418280393198, 0.8143540023589149)","(-0.022265994797384236, 0.8296776608725688)"
"(-0.02288860985845791, 0.8592859700350177)","(-0.023030378108282727, 0.8897637006588645)","(-0.0228108814506459, 0.8552097422216693)","(-0.022971147247502658, 0.8811878217872655)","(-0.022948629289001217, 0.8293212566098878)"
"(-0.023500828700137703, 0.9231666121640227)","(-0.0235142482651813, 0.9299980298839168)","(-0.023635277458648234, 0.8920627792866207)","(-0.023464628682735703, 0.9248427801163734)","(-0.023569243002256515, 0.9209531525436658)"
"(-0.024295062172787738, 0.9569279206539768)","(-0.024290091099500567, 0.9367058415246166)","(-0.024204783198354618, 0.9910936549780623)","(-0.024198399231274384, 0.9486393656007995)","(-0.02432408945700462, 0.9614105753281735)"
"(-0.02515938390056192, 1.0006755943447543)","(-0.025039469599926277, 1.031617351392201)","(-0.02502006849703395, 1.039381617965626)","(-0.02489941997348166, 1.0332054444829686)","(-0.025044958234929488, 1.0447543068955336)"
